episode,final position x,final position y,success,time taken
0,1.7250294228005625,0.2419764573034393,1,0 days 00:00:51.711787
1,0.8474849028629683,2.084797338731939,0,0 days 00:00:31.203401
2,1.7919185779061733,0.2434366950114092,1,0 days 00:00:45.786742
3,1.829208670857365,0.2246870495790824,1,0 days 00:00:41.849372
4,1.700583894070857,0.2374589143450213,1,0 days 00:00:45.796752
5,1.8472435861821213,0.2274815285817922,1,0 days 00:00:46.195516
6,1.8192598937202729,0.2357996151806961,1,0 days 00:00:46.227934
7,1.6997875442722694,0.2404382273672894,1,0 days 00:00:49.580292
8,1.8182850351052653,0.2367097867942956,1,0 days 00:01:00.336934
9,1.810203625054842,0.2299603067681065,1,0 days 00:00:43.957995
10,1.7110025831580502,0.2358055648012909,1,0 days 00:00:41.771722
11,1.7658073671979075,0.2463819566761502,1,0 days 00:00:45.801092
12,1.7560580218238344,0.2362760731633248,1,0 days 00:01:05.183801
13,1.8690500878415428,0.2142609837956518,1,0 days 00:00:46.299240
14,1.7811882131252943,0.2432351109152399,1,0 days 00:00:44.081392
15,1.8081721134075688,0.2411719150213083,1,0 days 00:00:38.958644
16,1.7956873193300047,0.2434866829269473,1,0 days 00:00:52.312652
17,1.731329728880436,0.2489366034932425,1,0 days 00:00:48.021937
18,1.8622177825146236,0.2158317394275365,1,0 days 00:00:50.048541
19,1.8388399679524396,0.2303429573420235,1,0 days 00:00:41.180540
20,1.7321685762268602,0.2470064766009901,1,0 days 00:00:41.545625
21,1.7304370905160045,0.2464208437691662,1,0 days 00:00:45.650883
22,1.8111150618579703,0.2314421861527136,1,0 days 00:00:51.943171
23,1.722266578718971,0.2476096060137074,1,0 days 00:00:41.825619
24,1.7527484043287749,0.2397485334906177,1,0 days 00:00:52.218247
25,0.0137767194674487,1.117100295471088,0,0 days 00:00:22.902269
26,1.745114168681402,0.2378477430412166,1,0 days 00:00:48.223736
27,1.7216037251497531,0.2354153415944948,1,0 days 00:00:42.945836
28,1.7895511018007368,0.2414284023611182,1,0 days 00:00:46.297662
